name,manufacturer,year,age,kilometerage,engine,transmission,price
Seat Ibiza,SEAT,2009,16,110883.526,Petrol,Manual,1750
Honda Civic,HONDA,2009,16,110883.526,Petrol,Manual,1750
Citroen C1,CITROEN,2009,16,110883.526,Petrol,Manual,1750
Mazda Mazda6,MAZDA,2009,16,110883.526,Petrol,Manual,1750
Ford Fiesta,FORD,2009,16,110883.526,Petrol,Manual,1750
Hyundai I10,HYUNDAI,2009,16,110883.526,Petrol,Manual,1750
Ford Ka,FORD,2009,16,110883.526,Petrol,Manual,1750
Ford Focus,FORD,2009,16,110883.526,Petrol,Manual,1750
Audi Tt,AUDI,2009,16,110883.526,Petrol,Manual,1750
Peugeot 107,PEUGEOT,2009,16,110883.526,Petrol,Manual,1750
Vauxhall Zafira,VAUXHALL,2009,16,110883.526,Petrol,Manual,1750
Peugeot 207,PEUGEOT,2009,16,110883.526,Petrol,Manual,1750
Fiat Panda,FIAT,2012,13,175418.06,Petrol,Manual,1750
Citroen C3 Picasso,CITROEN,2012,13,175418.06,Petrol,Manual,1750
Suzuki Grand Vitara,SUZUKI,2012,13,175418.06,Petrol,Manual,1750
Hyundai I20,HYUNDAI,2012,13,175418.06,Petrol,Manual,1750
Renault Clio,RENAULT,2012,13,175418.06,Petrol,Manual,1750
Vauxhall Astra,VAUXHALL,2012,13,175418.06,Petrol,Manual,1750
Kia Sportage,KIA,2012,13,175418.06,Petrol,Manual,1750
Skoda Fabia,SKODA,2012,13,175418.06,Petrol,Manual,1750
Mazda Mazda2,MAZDA,2012,13,175418.06,Petrol,Manual,1750
Peugeot 308,PEUGEOT,2012,13,175418.06,Petrol,Manual,1750
Vauxhall Corsa,VAUXHALL,2012,13,175418.06,Petrol,Manual,1750
Citroen C3,CITROEN,2012,13,175418.06,Petrol,Manual,1750
Kia Picanto,KIA,2012,13,175418.06,Petrol,Manual,1775
Smart Forfour,SMART,2012,13,175418.06,Petrol,Manual,1775
Fiat 500,FIAT,2012,13,175418.06,Petrol,Manual,1775
Citroen C3,CITROEN,2012,13,175418.06,Petrol,Manual,1775
Peugeot 107,PEUGEOT,2009,16,128256.3513,Diesel,Manual,1775
Nissan Note,NISSAN,2009,16,128256.3513,Diesel,Manual,1780
Peugeot 207,PEUGEOT,2009,16,128256.3513,Diesel,Manual,1780
Toyota Aygo,TOYOTA,2009,16,128256.3513,Diesel,Manual,1784
Ford Focus,FORD,2009,16,128256.3513,Diesel,Manual,1784
Honda Jazz,HONDA,2009,16,128256.3513,Diesel,Manual,1785
Nissan Micra,NISSAN,2009,16,128256.3513,Diesel,Manual,1785
Nissan Qashqai+2,NISSAN,2009,16,128256.3513,Diesel,Manual,1785
Kia Picanto,KIA,2009,16,128256.3513,Diesel,Manual,1789
Smart Fortwo,SMART,2009,16,128256.3513,Diesel,Manual,1789
Toyota Auris,TOYOTA,2009,16,128256.3513,Diesel,Manual,1789
Peugeot 207,PEUGEOT,2009,16,128256.3513,Diesel,Manual,1790
Ford S-Max,FORD,2009,16,128256.3513,Diesel,Manual,1790
Renault Clio,RENAULT,2009,16,128256.3513,Diesel,Manual,1790
Nissan Note,NISSAN,2009,16,128256.3513,Diesel,Manual,1790
Ford Fiesta,FORD,2009,16,128256.3513,Diesel,Manual,1790
Lexus Is,LEXUS,2009,16,128256.3513,Diesel,Manual,1790
Peugeot 308,PEUGEOT,2009,16,128256.3513,Diesel,Manual,1790
Vauxhall Astra,VAUXHALL,2006,19,217260.9,Petrol,Automatic,1790
Ford Focus,FORD,2006,19,217260.9,Petrol,Automatic,1790
Kia Picanto,KIA,2006,19,217260.9,Petrol,Automatic,1790
Renault Twingo,RENAULT,2006,19,217260.9,Petrol,Automatic,1790
Mercedes-Benz A Class,MERCEDES-BENZ,2006,19,217260.9,Petrol,Automatic,1790
Toyota Yaris,TOYOTA,2006,19,217260.9,Petrol,Automatic,1790
Honda Civic,HONDA,2006,19,217260.9,Petrol,Automatic,1790
Peugeot 5008,PEUGEOT,2006,19,217260.9,Petrol,Automatic,1790
Kia Picanto,KIA,2006,19,217260.9,Petrol,Automatic,1790
Ford C-Max,FORD,2006,19,217260.9,Petrol,Automatic,1790
Renault Megane,RENAULT,2006,19,217260.9,Petrol,Automatic,1790
Nissan Note,NISSAN,2006,19,217260.9,Petrol,Automatic,1790
Toyota Avensis,TOYOTA,2006,19,217260.9,Petrol,Automatic,1790
Volkswagen Golf,VOLKSWAGEN,2006,19,217260.9,Petrol,Automatic,1790
Renault Clio,RENAULT,2006,19,217260.9,Petrol,Automatic,1791
Peugeot 107,PEUGEOT,2006,19,217260.9,Petrol,Automatic,1795
Honda Civic,HONDA,2006,19,217260.9,Petrol,Automatic,1795
Ford Ka,FORD,2006,19,217260.9,Petrol,Automatic,1795
Hyundai I10,HYUNDAI,2006,19,217260.9,Petrol,Automatic,1795
Renault Scenic,RENAULT,2015,10,236572.98,Petrol,Manual,1795
Peugeot 207,PEUGEOT,2015,10,236572.98,Petrol,Manual,1795
Ford Fiesta,FORD,2015,10,236572.98,Petrol,Manual,1795
Citroen Grand C4 Picasso,CITROEN,2015,10,236572.98,Petrol,Manual,1795
Skoda Octavia,SKODA,2015,10,236572.98,Petrol,Manual,1795
Volkswagen Golf,VOLKSWAGEN,2015,10,236572.98,Petrol,Manual,1795
Fiat 500,FIAT,2015,10,236572.98,Petrol,Manual,1795
Ford Focus,FORD,2015,10,236572.98,Petrol,Manual,1795
Audi A4,AUDI,2015,10,236572.98,Petrol,Manual,1795
Citroen C3 Picasso,CITROEN,2015,10,236572.98,Petrol,Manual,1795
Nissan Qashqai,NISSAN,2015,10,236572.98,Petrol,Manual,1795
Skoda Fabia,SKODA,2015,10,236572.98,Petrol,Manual,1795
Vauxhall Meriva,VAUXHALL,2015,10,236572.98,Petrol,Manual,1795
Dacia Sandero Stepway,DACIA,2015,10,236572.98,Petrol,Manual,1795
Toyota Corolla,TOYOTA,2009,16,120700.5,Petrol,Manual,1795
Mazda Mazda 6,MAZDA,2009,16,120700.5,Petrol,Manual,1795
Renault Clio,RENAULT,2009,16,120700.5,Petrol,Manual,1795
Toyota Yaris,TOYOTA,2009,16,120700.5,Petrol,Manual,1795
Vauxhall Zafira,VAUXHALL,2009,16,120700.5,Petrol,Manual,1795
Toyota Avensis,TOYOTA,2009,16,120700.5,Petrol,Manual,1795
Nissan Note,NISSAN,2009,16,120700.5,Petrol,Manual,1795
Ford Fiesta,FORD,2009,16,120700.5,Petrol,Manual,1795
Peugeot 107,PEUGEOT,2009,16,120700.5,Petrol,Manual,1795
Vauxhall Corsa,VAUXHALL,2009,16,120700.5,Petrol,Manual,1795
Fiat 500,FIAT,2009,16,120700.5,Petrol,Manual,1795
Volkswagen Golf,VOLKSWAGEN,2009,16,120700.5,Petrol,Manual,1795
Ford S-Max,FORD,2009,16,120700.5,Petrol,Manual,1795
Toyota Aygo,TOYOTA,2009,16,120700.5,Petrol,Manual,1795
Nissan Micra,NISSAN,2009,16,120700.5,Petrol,Manual,1795
Peugeot 3008,PEUGEOT,2009,16,120700.5,Petrol,Manual,1795
Ford Ka,FORD,2009,16,120700.5,Petrol,Manual,1795
Renault Megane,RENAULT,2007,18,181855.42,Petrol,Manual,2000
Toyota Corolla,TOYOTA,2007,18,181855.42,Petrol,Manual,2000
Ford Mondeo,FORD,2007,18,181855.42,Petrol,Manual,2000
Bmw 3 Series,BMW,2007,18,181855.42,Petrol,Manual,2000
Honda Jazz,HONDA,2007,18,181855.42,Petrol,Manual,2000
Citroen C1,CITROEN,2007,18,181855.42,Petrol,Manual,2000
Vauxhall Agila,VAUXHALL,2007,18,181855.42,Petrol,Manual,2000
Nissan Pixo,NISSAN,2007,18,181855.42,Petrol,Manual,2000
Toyota Avensis,TOYOTA,2007,18,181855.42,Petrol,Manual,2000
Nissan Micra,NISSAN,2007,18,181855.42,Petrol,Manual,2000
Ford C-Max,FORD,2007,18,181855.42,Petrol,Manual,2000
Ford Fiesta,FORD,2007,18,181855.42,Petrol,Manual,2000
Renault Twingo,RENAULT,2007,18,181855.42,Petrol,Manual,2000
Vauxhall Corsa,VAUXHALL,2007,18,181855.42,Petrol,Manual,2000
Vauxhall Astra,VAUXHALL,2007,18,181855.42,Petrol,Manual,2000
Vauxhall Astra,VAUXHALL,2007,18,181855.42,Petrol,Manual,2000
Bmw X3,BMW,2007,18,181855.42,Petrol,Manual,2000
Suzuki Swift,SUZUKI,2007,18,181855.42,Petrol,Manual,2000
Volkswagen Polo,VOLKSWAGEN,2008,17,178636.74,Petrol,Manual,2000
Hyundai Ix20,HYUNDAI,2008,17,178636.74,Petrol,Manual,2000
Mercedes-Benz C Class,MERCEDES-BENZ,2008,17,178636.74,Petrol,Manual,2000
Peugeot 3008,PEUGEOT,2008,17,178636.74,Petrol,Manual,2000
Toyota Prius,TOYOTA,2008,17,178636.74,Petrol,Manual,2000
Vauxhall Astra,VAUXHALL,2008,17,178636.74,Petrol,Manual,2000
Citroen C4 Picasso,CITROEN,2008,17,178636.74,Petrol,Manual,2000
Ford Mondeo,FORD,2008,17,178636.74,Petrol,Manual,2000
